id	name	description	type
DocupostPostalMail	DocuPost Postal Mail	DocuPost is a print & mail service allowing you to easily mail your digital files as physical letters and postcards via the US Postal Service.	Printing
Docusnap365	Docusnap365	Docusnap is a software for automated network inventory, IT documentation, license management and permission analysis.	Analytics
Docuwriter.ai	DocuWriter.ai	AI-powered service that generates code documentation, tests, and optimizations from your source code files	AI Document Extraction
Dogq	DogQ	DogQ is a no-code automated testing tool for web applications that helps users create, manage, and run tests without writing code.	Developer Tools
Donna	DONNA	Donna brings the power of Artificial Intelligence to Independent Insurance agents with out-of-the-box solutions addressing the top business concerns.	Analytics
Dovetail	Dovetail	Dovetail is an AI-first customer insights hub that combines feedback and research to create a single source of truth for customer knowledge.	Project Management
DrafterAi	Drafter AI	Drafter AI enables marketing teams to scale AI-powered tasks like content generation, data acquisition and analytics.	Marketing Automation
Dreamcampaigns	DreamCampaigns	DreamCampaigns is an email & SMS marketing platform. Create beautiful and engaging emails & texts and send them to your subscribers.	Email Newsletters
Dreamdata	Dreamdata	Dreamdata is a B2B revenue attribution platform. Revealing signals across your customer journey, automate audiences and optimize for growth.	Marketing Automation
Drip	Drip	Automate your ecommerce marketing at scale. Drip is your ecommerce marketing engine. Build personalized customer experiences, drive more revenue, and take your marketing strategy to the next level with Drip.	Drip Emails
DropCowboy	Drop Cowboy	Drop Cowboy is a Ringless Voicemail and SMS Marketing platform built to automate communication processes for the modern sales and support team.	Marketing
Dropmatix	Dropmatix	Dropmatix is an e-commerce ERP solution and automates sales, inventory, online stores and sales platforms.	eCommerce
DscribeAi	dScribe AI	dScribe AI is an API that delivers visual summaries, transcriptions, and detects brands from videos found online.	Social Media Marketing
Dunaroo	Dunaroo	Dunaroo is a project management tool that automates your client communication so you can focus on what you do best.	Productivity
EarthClassMail	Earth Class Mail	Earth Class Mail is a fully digital mailroom for business. Use a virtual address from our vast network to get us your mail. We'll scan your mail items, make them digital so you can take action.	Documents
Easybotflow	EasyBotFlow	EasyBotFlow is a platform for crafting AI chatbots that enhance digital engagement without needing coding skills.	AI Chatbots
Easychannel	EasyChannel	EasyChannel is an AI-powered eCommerce management platform that helps sellers centralize operations, automate workflows, and grow across multiple marketplaces.	eCommerce
EasyEmailVerification	Easy Email Verification	Easy Email Verification is a service that validates email addresses in real time.	Email
Easyfill.ai	EasyFill.ai	EasyFill.ai is a tool that helps businesses create and manage custom online forms, streamlining data collection and response handling.	Forms & Surveys
Easymailing	Easymailing	Easymailing is an all-in-one platform for email marketing, subscription forms, automation, and creating websites or landing pages.	Marketing Automation
EasyPeasy.ai	Easy-Peasy.AI	Easy-Peasy.AI is a multifunctional tool that generates texts, images, and text-to-speech content, transcribes audio, and creates chatbots.	AI Content Generation
Easywebinar	EasyWebinar	EasyWebinar is a webinar software program that allows you to go live or use our automated feature to show a pre-recorded video as your webinar. Connect any webinar in EasyWebinar, live or automated, to your favorite autoresponder.	Webinars
Ebby	Ebby	Ebby is an automated transcription platform which accurately transcribes any audio or video. Supporting more than 100 languages and providing feature-rich editing tools to get your transcription or subtitling done quickly and accurately.	Transcription
Ecoemails	EcoEmails	EcoEmails is the ethical choice for email validation	Email
EdenAi	Eden AI	Eden AI is an AI API aggregator that allows you to use many AI technologies and providers without having to set up each API individually.	AI Models
EdgeoneImageRenderer	EdgeOne Image Renderer	EdgeOne Image Renderer automates the creation of high-quality images with reusable templates and seamless integration through our API and URLs.	Images & Design
Egain	eGain	eGain is a top-rated AI knowledge management platform for customer engagement.	Customer Support
EGoi	E-goi	E-goi is a Multichannel Marketing Automation Platform, including email marketing services, SMS, Voice Broadcast, Push Notifications, Web Push and Forms to Capture, Automate, Communicate, Analyse and Generate more Sales.	Marketing Automation
Elai	Elai	Elai.io is a leading text-to-video platform that allows anyone to build customized AI videos with a presenter using only text. A few moments is all it takes to generate a video with 69 languages available for translation.	Video & Audio
ElasticEmail	Elastic Email	Elastic Email is an all-in-one email delivery platform. Offering an SMTP Relay, robust HTTP API, and a User Interface that has a complete suite of tools and features for managing contacts, templates, campaigns, and reports. Specializing in delivering transactional and marketing email for businesses of any size.	Email
Elasticwebinar	ElasticWebinar	ElasticWebinar is a webinar app that lets you create modern automated webinars.	Webinars
ElectroneekRpa	ElectroNeek RPA	ElectroNeek is a low-code RPA platform to automate routine tasks and free human resources.	IT Operations
Eledo	Eledo	Eledo is a PDF service that helps you with your automated document creation. Build your document template in Eledo online editor and include dynamic elements.	Documents
Ello.ai	Ello.AI	Ello.AI is a AI-driven voice automation for customer conversations, enabling tasks like support, lead qualification, and appointment management.	AI Assistants
Emailable	Emailable	Emailable is an email verification platform that helps to improve your deliverability and email marketing ROI.	Marketing Automation
Emailchef	Emailchef	Emailchef is an email marketing platform that allows you to create, send and analyze mass emails and newsletters in an easy and scalable way.	Email Newsletters
EmailHippo	Email Hippo	Email Hippos is an email intelligence platform to stop bad emails getting into your systems. MORE shields your forms from fraudsters and typos in real-time.	Email
Emailidea	Emailidea	Emailidea is a comprehensive, smart, and consistent bulk email delivery service platform trusted by diverse businesses.	Communication
Emailjs	Emailjs	Send email directly from your client-side Javascript code – no server side code required. 	Email
Emaillistverify	EmailListVerify	EmailListVerify verifies your email list directly in the tool you use to send newsletters, email notifications, and others.	Email
Emailoctopus	EmailOctopus	A cheaper way to send your email marketing campaigns.	Email Newsletters
Emailoversight	EmailOversight	EmailOversight is an email validation platform that empowers clients to solidify leads and verify subscribers with a 99.5% accuracy.	Email
EmailParserZapier	Email Parser by Zapier	Send emails to your custom "@robot.zapier.com" address and extract any data! Visit http://parser.zapier.com/ for more information!	Email
Emailvalidation	Emailvalidation	Emailvalidation is an email verification tool that helps marketers & developers to clean their mailing lists.	Email
Emailverify.io	EmailVerify.io	EmailVerify.io is a tool to verify email lists, find emails by domain or username, and manage team access with shared credits.	Email
EmailZapier	Email by Zapier	Send and receive email via a custom Zapier email address at "zapiermail.com". This is great for triggering off of emails and sending custom emails. (Max of 10 email sends per hour.)	AI Tool
Embedai	EmbedAI	EmbedAI lets you create custom AI ChatGPT bot trained on your data	AI Assistants
Empowr.ai	Empowr.ai	Empowr.ai is a B2B SaaS Influencer Marketing platform by Aifluence. Empowr.ai lets you launch a Creator campaign in few minutes and manage it end-to-end.	Social Media Marketing
EndlessFairs	Endless Fairs	Endless Fairs is a platform which offers tailor-made solutions for expectations. Organize online creative activities to bring together visitors and participants from all over the world.	Event Management
Endorsal	Endorsal	Endorsal fully automates the collection and display of testimonials & reviews, boosting social proof on autopilot.	Marketing Automation
EngageAi	Engage AI	Engage AI increases LinkedIn lead touchpoints by alerting you when they post and creating comments to speed up engagements.	AI Assistants
Enginemailer	Enginemailer	Enginemailer is an all-in-one email marketing platform offering lead generation, marketing, transactional and automation features.	Marketing Automation
Engineroom	EngineRoom	EngineRoom is a Growth Marketing Platform that tracks your marketing attribution and easily shows you the ROI on your marketing investment.	Analytics
Enormail	Enormail	Enormail is an email marketing tool that makes it a breeze to grow your list and send automated campaigns.	Email Newsletters
EvaGiftingAssistantEvabot	Eva Gifting Assistant (EvaBot)	Eva helps you easily send personalized client gifts for closings, birthdays, house-anniversaries. Connect with a CRM to automate client gifting today.	CRM (Customer Relationship Management)
Eventlogcentral	EventLogCentral	Log and manage events effortlessly with EventLogCentral. Automate event tracking and streamline your workflows with powerful API integration	Developer Tools
Everlytic	Everlytic	Everlytic is a communications platform that helps businesses send automated, personalized messages in bulk or transactional via email, SMS, and voice at scale.	Communication
Everwebinar	Everwebinar	EverWebinar simulates the live webinar experience for customers and operates completely automated.	Webinars
EvoAppraisalManagementSoftware	EVO Appraisal Management Software	EVO Appraisal Management Software is a workflow management tool for streamlining the real estate appraisal process.	Task Management
EwaiverproDigitalWaivers	eWaiverPro Digital Waivers	eWaiverPro is a digital waiver system that automates and simplifies collecting electronic waivers and digital documents.	Scheduling & Booking
Ewebinar	eWebinar	eWebinar turns any video into an interactive, automated webinar that you can set on a recurring schedule. We save you from doing the same webinar over and over again.	Webinars
ExactMails	Exact Mails	ExactMails is a powerful tool for finding and verifying email addresses with high accuracy for marketing and lead generation purposes.	Contact Management
Exacttarget	ExactTarget	ExactTarget is a suite of marketing tools that helps marketers deliver email marketing, mobile marketing, and social media marketing in realtime across multiple channels to drive customer engagement, automate marketing, increase sales, and improve return on marketing investment.	Marketing Automation
Exceed.ai	Exceed.ai	Exceed.ai helps companies engage, nurture, and qualify more leads at scale, using a two-way conversational AI engine	Marketing Automation
ExpansifyAi	Expansify AI	Expansify AI is an AI-powered growth platform for marketing, helping businesses automate and optimize their marketing ROI.	AI Assistants
Expensya	Expensya	Expensya is a Web and Mobile solution that automates the management of expense reports for professionals.	Accounting
Exportcomments	EXPORTCOMMENTS	EXPORTCOMMENTS is a service for exporting comments and social media data to Excel, CSV, and other formats with automated workflows.	Social Media Marketing
Extracta.ai	Extracta.ai	Extracta.ai automates data extraction from any document or image, converting unstructured content into structured, customizable output.	AI Document Extraction
Eyelevel.ai	EyeLevel.ai	EyeLevel allows you to launch automated chats anywhere you advertise, including from your website, QR codes, paid social, paid search, email marketing, and more. Live chat with your customers using SMS text, Slack, or Microsoft Teams.	Sales & CRM
Eyepop.ai	EyePop.ai	EyePop.ai is an AI tool that analyzes images, identifying and providing data on objects, including their names, positions, and sizes, within an image.	AI Assistants
EzeepBluePrinting	ezeep Blue printing	ezeep Blue printing automates printing of labels, checks, packing slips, reports and all other purposes.	Printing
Ezus	Ezus	Ezus is a back office for all your travel production needs. Organise trips for your clients, automate the production of documents, quotes and invoices.	Sales & CRM
FacebookLeadAds	Facebook Lead Ads	Facebook lead ads make signing up for business information easy for people and more valuable for businesses. The Facebook lead ad app is useful for marketers who want to automate actions on their leads.	Ads & Conversion
FacebookLeadAdsBusinessAdmins	Facebook Lead Ads (for Business admins)	Facebook lead ads make signing up for business information easy for people and more valuable for businesses. The Facebook lead ad app is useful for marketers who want to automate actions on their leads.	Ads & Conversion
Facilitybot	FacilityBot	Allow staff to book desks, report faults, make service requests, book rooms, invite visitors and get automated FAQ responses (chatbot) through a single channel.	Customer Support
Faithlife	Faithlife	Faithlife Corporation publishes and creates electronic tools and resources for Bible study.	Online Courses
Faqbot	Faqbot	Faqbot is a bot that helps to improve customer engagement and overall customer experience.	Marketing Automation
FashnAi	FASHN AI	FASHN AI is a virtual try-on platform that generates realistic try-on images by combining model photos with garment images using advanced AI technology.	AI Assistants
Fastbots	FastBots	FastBots: AI Powered Chatbots Trained On Your Data	AI Chatbots
Fastmail	FastMail	FastMail is an email service offering paid email accounts for individuals and organisations. It is provided in 36 languages to customers worldwide.	Email
Fastn	fastn	fastn is used to build APIs that handle complex data processing and long-running tasks to automate, orchestrate, and streamline processes across their apps.	IT Operations
Feather	Feather	Feather is an AI-powered phone calling platform that automates sales calls and customer outreach through intelligent conversation workflows.	AI Agents
Fera	Fera	Fera is a customer reviews app that allows you to automate review requests, display reviews on your site and moderate customer submissions.	Reviews
Fidelimax	Fidelimax	Fidelimax is a loyalty program designed to automate relationship marketing and manage the entire loyalty program	CRM (Customer Relationship Management)
Fidelizador	Fidelizador	Fidelizador is a professional solution to create, automate and customize emails. Engage your customers and build your brand with advanced email marketing campaigns.	Marketing Automation
FieldServiceManagement|PoweredGpsInsight	Field Service Management | Powered by GPS Insight	Field Service Management powered by GPS Insight supports your organization’s daily workflow. It eliminates paper, automates your processes, connects your technicians and office team, and ensures a smooth customer journey.	Project Management
Fileinvite	FileInvite	FileInvite helps you collect documentation. Request files from clients, and the work to chase and collect them is fully automated for you.	Documents
Filemail	Filemail	Filemail is a service for sending and receiving large files	Content & Files
Filerobot	Filerobot	Filerobot is a Digital Asset Management platform that acts as source-of-truth for all media assets within your company.	Content & Files
Files.com	Files.com	Files.com is Smart Cloud Storage for modern teams. With Files.com, your team can collaborate, automate, and get things done -- without compromising security.	File Management & Storage
Findthatlead	FindThatLead	FindThatLead is a tool to automate your lead generation and increase your sales	CRM (Customer Relationship Management)
Findymail	Findymail	Findymail helps B2B salespeople build lead lists faster by finding more accurate emails and automating the tedious tasks of prospecting.	Sales & CRM
FinlegalClaimsAutomation	FinLegal Claims Automation	FinLegal Claims Automation is a total solution for legal claims automation.	CRM (Customer Relationship Management)
Firecrawl	Firecrawl	FireCrawl API scrapes websites, extracts structured data using AI, and converts it to LLM-friendly format. Automate data acquisition for any workflow.	Developer Tools
FiredrumEmailMarketing	FireDrum Email Marketing	FireDrum is a robust, affordable email marketing platform. From simple newsletters to enterprise white-label solutions, we’ve got you covered.	Email Newsletters
Fireflies.ai	Fireflies.ai	Automatic notes from every meeting. Fireflies dials into your call to take notes. Automate actions by setting custom commands and alerts.	Transcription
Fitr	FITR	FITR is all-in-one Health & Fitness Coaching Software. Seamlessly automate program delivery, online sales and client management.	Fitness
Flair	Flair	Flair is a data integration tool for syncing multifamily pricing, availability, and rent specials across systems.	Databases
FlashVeloraAi	Flash (by Velora AI)	Flash (by Velora AI) is an AI copilot for PLG B2B SaaS product teams.	AI Assistants
FlaxxaWapi	Flaxxa Wapi	Flaxxa Wapi is a tool to automate messaging, segment customers, and analyze interactions to enhance communication and boost marketing efficiency.	Marketing Automation
FleetFinesse	Fleet Finesse	Fleet Finesse automates reservations, payments, contracts, and customer management, helping rental businesses streamline workflows effortlessly.	CRM (Customer Relationship Management)
FlexisyncPro	Flexisync Pro	Flexisync Pro is a tool that automates real-time syncing of your payments, subscriptions, customers, invoices, payouts data.	Website & App Building
Flexmail	Flexmail	Use Flexmail to keep in touch with subscribers, leads and customers through email marketing. Send better emails through data, powerful targeting and automation.	Email Newsletters
Flg	FLG	A complete CRM platform focused on automated workflow to manage leads & control processes - nothing missed, no opportunity left behind.	CRM (Customer Relationship Management)
Flipsnack	Flipsnack	Easily create, share, and embed interactive flipbooks with Flipsnack. Trigger Zaps with Lead Form Data, Shopping List Orders, or other notifications.	Analytics
FlowForms	Flow Forms	Flow Forms automates your work, like for real	App Builder
Flowiseai	FlowiseAI	FlowiseAI is a low-code/no-code tool to build customized LLM flows	AI Models
Flowparser	FlowParser	FlowParser is a document processing AI platform that automates data extraction from any document, saving you hours of manual work.	AI Document Extraction
Flowster	Flowster	Flowster is a workflow management tool that helps you automate and outsource your repetitive business processes.	Project Management
Fonor	Fonor	Fonor is an email automation platform which uses GPT technology to manage customer interactions & automate email responses.	CRM (Customer Relationship Management)
Foodstorm	FoodStorm	FoodStorm is a catering software system that will automate your processes, generate more sales and delight your customers	eCommerce
For hotels, B&B’s, vacation rentals, car rentals & hostels.	chargeautomation	Product Management	AI Tool
Formhive.net	formhive.net	formhive.net is a backend for your web forms. Receive form submissions securely, send notifications and automate workflows.	Forms & Surveys
Formstory	FormStory	FormStory is a tool that captures and stores form submissions information even if your web form breaks or is abandoned.	Analytics
FoundaitionChatbot	FoundAItion Chatbot	FoundAItion chatbot is an advanced conversational interface that helps you utilize Large Language Models to speak to customers more efficiently.	AI Chatbots
Fountain	Fountain	Fountain brings hiring into one place so you can hire faster, whether your company is gig economy, franchise, or a small business.	HR Talent & Recruitment
Frame.ioV4	Frame.io V4	Frame.io V4 is a way to automate workflows with 1000+ apps. Smart dropdowns, instant notifications for comments/uploads/projects/etc.	Team Collaboration
Franconnect	FranConnect	FranConnect helps franchises increase unit growth, reduce opening time, track and improve unit performance, automate financial reporting & more	Accounting
Freee	freee	freee provides cloud-based accounting & HR software for SMBs in Japan to automate and simplify back-office tasks.	Accounting
Frontlead	Frontlead	Frontlead is a tool to create forms, funnels, surveys and more, including automated analysis and (personal) email replies.	Forms & Surveys
Fullsession	FullSession	FullSession is a behavioral analytics tool to optimize the website with enhanced digital customer experience.	Analytics
Fullstory	Fullstory	Fullstory is a digital experience analytics platform that uses session replay and other tools to give you valuable insights into your user's experiences.	Analytics
FundraiseUp	Fundraise Up	Fundraise Up is a donor-centric, AI-assisted online giving solution that helps nonprofits significantly increase the amount of money raised online.	Payment Processing
Funneldash	FunnelDash	Funneldash is the ultimate agency growth funnel software as it combines data from multiple CRM, Payment and Advertising solutions to show key metrics about your funnels.	Analytics
Funnelytics	Funnelytics	Funnelytics is a visual customer journey analytics tool that lets you map your journey on a whiteboard and overlay data to see how it's actually performing.	Analytics
FusionElements	Fusion Elements	Fusion Elements is a practice management tool helping and Advisors streamline and automate their business.	Task Management
Fuzey	Fuzey	Fuzey is an all-in-one communication & lead management platform that automates workflows, streamlines customer engagement, and boosts productivity.	Communication
Gagelist	GageList	GageList streamlines gauge management and calibration, ensuring compliance and boosting productivity.	Analytics
GailLula	GAIL by LULA	GAIL (Generative AI by LULA) is an Insurance AI that is capable of having human like conversations, built to lower Sales and Support costs.	AI Assistants
Gainknowhow	GainKnowHow	GainKnowHow is an employee onboarding and skill training platform. It's like "An org-chart for your skills".	HR Talent & Recruitment
Gainsight	Gainsight	Gainsight™ is a CRM that helps businesses build deep and lasting relationships with their customers.	CRM (Customer Relationship Management)
GainsightCustomerCommunities	Gainsight Customer Communities	Gainsight's Customer Communities is a B2B customer success community platform that increases self-service and engagement during crucial phases of the customer journey.	Customer Support
GamifiedMarketing.ai	Gamified Marketing.ai	Gamified Marketing.ai boosts brand's marketing enhancing AI gamification.	Marketing
Gan.ai	GAN.AI	GAN.ai is a video personalization platform.	Ads & Conversion
Gatherup	GatherUp	GatherUp is an automated customer feedback and online review platform.	Forms & Surveys
Geekbot	Geekbot	Geekbot runs asynchronous standups, retrospectives, and surveys — enabling easy, effective, and transparent collaboration across time zones	Productivity
GenderApi.com	Gender-API.com	Gender API is an API which returns if a first name (like Mike, Barbara, Sam) or a full name (like Vanessa Campbell) is either male or female.	Analytics
Genderize	Genderize	Genderize is a statistical tool that predicts a user gender from their name.	Analytics
Getemail.io	GetEmail.io	GetEmail.io simplifies the process of finding email addresses across the web, offering a convenient solution with just one click.	Productivity
GetReferral	Get The Referral	Get The Referral manages, connects and automates leads to your CRM.	CRM (Customer Relationship Management)
Getsitecontrol	Getsitecontrol	Getsitecontrol is an email marketing platform that helps brands collect leads, automate emails, send promo newsletters, and run on-site campaigns.	Forms & Surveys
Getuser.ai	GetUser.ai	GetUser.ai is a lightning-fast reverse email lookup platform built for modern revenue teams.	Sales & CRM
Giantcampaign	GiantCampaign	GiantCampaign is an email marketing platform that allows you to turn your email list into real sales.	Marketing Automation
Giveme5	GiveMe5	GiveMe5 is a powerful tool to generate 5-star reviews, build trust, and boost your local search ranking with real, automated customer feedback.	Marketing Automation
Gleantap	Gleantap	Gleantap is a customer data & engagement platform for consumer businesses. It enables you to automate conversation with customers using AI.	CRM (Customer Relationship Management)
GloriaAi	Gloria AI	Gloria AI is an AI-driven platform for enhancing workflows with smart message processing and event triggers.	AI Assistants
Gmail	Gmail	One of the most popular email services, Gmail keeps track of all your emails with threaded conversations, tags, and Google-powered search to find any message you need.	Email
Goco	GoCo	GoCo is a modern HR, benefits and payroll platform that automates your workflow, without forcing you to change your processes, policies, and providers.	Human Resources
GoogleAiStudioGemini	Google AI Studio (Gemini)	Google AI Studio is a fast, easy way to start prototyping generative AI ideas using Google's Gemini model.	AI Models
GoogleAnalytics4	Google Analytics 4	Google Analytics 4 is a powerful web analytics platform that provides businesses with deep insights into user behavior and website performance.	Analytics
GoogleSheets	Google Sheets	Create, edit, and share spreadsheets wherever you are with Google Sheets, and get automated insights from your data.	Google
GoogleTables	Google Tables	Google Tables helps teams easily track & automate tasks, enabling them to save time and work smarter.	Databases
GoogleVertexAi	Google Vertex AI	Build, deploy, and scale machine learning (ML) models, with fully managed ML tools for any use case, with Vertex AI.	AI Models
Goreminders	GoReminders	GoReminders is a scheduling and appointment reminder system with automated text reminders and email reminders for your clients.	Scheduling & Booking
Gorgias	Gorgias	Gorgias is an ecommerce focused helpdesk with AI-powered responses, automated workflows & integrations.	Customer Support
Gorgias.io	Gorgias.Io	Helpdesk designed for Shopify stores. Provide multichannel customer service from a single app. Gain productivity with automated responses to common requests.	Customer Support
GotoTraining	GoTo Training	GoTo Training by LogMeIn is an online training software that enables enterprises and individuals to provide interactive training sessions to both employees and customers, regardless of location.	Online Courses
GozenHyperreach.ai	GoZen HyperReach.AI	GoZen Hyperreach.AI enables users to find lead emails and drive sales by automating the highest level of data-driven personalization in less than 2 minutes.	Drip Emails
Gptbots	GPTBots	GPTBots seamlessly connect LLMs with enterprise data, services and workflows, empower your business with incredible AI capabilities.	AI Chatbots
GptChatbot	GPT Chatbot	GPT Chatbot allows you to create your custom AI chatbots and embed it in your website or preferred social media.	AI Chatbots
GptTrainer	GPT-trainer	GPT-trainer allows you to train a no-code ChatGPT-like chatbot using your own data and embed it onto your website or applications.	AI Assistants
GptzeroDetectAi	GPTZero: Detect AI	Scan your document for AI. Since inventing AI detection, GPTZero incorporates the latest research in detecting AI models, and investigating their sources.	AI Safety, Compliance, Detection
GrabpennyCampaignManager	Grabpenny Campaign Manager	Grabpenny Campaign Manager automates social media engagement campaigns for Twitter, YouTube, and Instagram to boost your visibility with real user interactions.	Marketing Automation
Grain	Grain	Grain joins your calls to take notes, document the next steps, and file automated meeting notes in platforms like Slack, HubSpot, and more.	AI Meeting Assistants
Graip.ai	Graip.AI	Graip.ai is an AI-powered document processing platform designed to simplify data extraction from a wide range of document formats	AI Assistants
GreatAep	Great AEP	Great AEP is automated scheduling for insurance agents.	Scheduling & Booking
GreatlySocial	Greatly Social	Greatly Social is a social media management platform that automates post scheduling, content creation, and cross-platform publishing for creators and businesses	Social Media Marketing
GrinderyWeb3Gateway	Grindery Web3 Gateway	Connect to your favorite Web3 dApps, protocols, and smart contracts across many chains, such as automated minting of NFTs from a Typeform.	Developer Tools
GrokXai	Grok by xAI	Grok by xAI is a speedy, hyper-intelligent, truthful LLM designed to understand the universe.	AI Models
Groove.cm	Groove.cm	Boost productivity with Zapier's Groove.cm integration. Automate GrooveMail and GrooveSell tasks, streamline data sync, and save time.	Marketing
Growbots	Growbots	Growbots is an all-in-one AI tool for automated outbound sales, combining scalable prospecting and targeted email outreach.	AI Sales Tools
Growth99	Growth99	Growth99 is a CRM & digital marketing platform for medical aesthetic practices. Use Zapier to automate contact creation/updates & grow your practice.	CRM (Customer Relationship Management)
Hailer	Hailer	Hailer is a tool that helps people be more productive and organized together. It contains modular process management, discussions, calendars and social feeds.	Project Management
Handshook	Handshook	Handshook is a mobile CRM app that uses AI for scanning business card and event badges and features automated follow-ups and data enrichment.	Sales & CRM
Happierleads	Happierleads	Happierleads is a B2B Web Analytics platform, which turns your website visitors to hot sales leads by revealing important information about them.	Analytics
Happily.ai	Happily.ai	Happily.ai is an engagement, recognition, and rewards tool that aims to create happy, high-performing teams.	Productivity
Happydesk	HappyDesk	HappyDesk is a helpdesk system with multiple communication options. It lets you automate workflows, analyze and improve the performance of your team.	Customer Support
Happyornot	HappyOrNot	HappyOrNot is a real-time customer feedback platform showing when, where & why customers are happy (or not).	Analytics
HarpaAi	HARPA AI	HARPA AI is an AI-powered Web Browser Orchestration system that transforms your browser into a AI-worker for research, scraping, and running AI Commands.	AI Web Scraping
HatzAi	Hatz AI	Hatz AI is an AI agent platform for MSPs and SMBs to automate their business processes.	AI Models
Have direct access to your own email servers? Check out our IMAP and SMTP services!	email	Email	AI Tool
HelloMoe	Hello Moe	Build conversational bot flows using our visual chatbot builder and templates - no coding is required to automate customer support.	App Builder
HelloprintApi	Helloprint API	Helloprint is a marketplace for customized print products. Connect and automate the fulfillment process of your print orders at Helloprint	Printing
Help247.ai	help247.ai	help247.ai is an AI Receptionist that can respond to inbound inquires via phone, chat, email, or text.	AI Assistants
Herobot	HeroBot	HeroBot is a zap chatbot platform for automated messaging, campaigns, and feedback collection.	Phone & SMS
Herv.ai	Herv.ai	Herv.ai is an error checking service in the auditing and accounting industry.	Accounting
Hexomatic	Hexomatic	Hexomatic is a no-code, work automation platform that enables you to harness the internet as your own data source, leverage the most sophisticated AI services and a crowdsourced team of human assistants to automate and delegate time consuming tasks.	Analytics
Heybossai	HeyBossAI	HeyBossAI is a vibe Coding for Build websites, apps and commerce tools by chatting with AI.	AI Assistants
HeyOliver	Hey Oliver	Hey Oliver is marketing automation tool that helps you convert more visitors, and run automated, targeted and personalized marketing campaigns.	Marketing Automation
HibuAssistantConnect	Hibu Assistant Connect	Hibu Assistant Connect allows clients to connect 3rd party lists to their Hibu suite of products	Marketing
Hightail	Hightail	Share multimedia files, manage creative projects, and collaborate in real time.	Team Collaboration
HireAiva	Hire Aiva	Aiva helps real estate agents convert online leads	HR Talent & Recruitment
Hireez	hireEZ	hireEZ is an outbound recruiting platform that intelligently searches 800M+ candidate profiles, automates engagement, and connects with other industry systems.	HR Talent & Recruitment
Hive	Hive	Hive provides simple automated workflow for teams. It brings all your different tools onto one dashboard and makes it easy to see progress and bottlenecks.	Team Collaboration
HiverBot	Hiver bot	Hiver is a conversational chat bot and forms service.	Scheduling & Booking
Homebot	Homebot	Homebot is a homeownership intent platform that surfaces actionable data first.	Marketing
HomeInspectorProOffice	Home Inspector Pro Office	Home Inspector Pro Office is a tool to automate and streamline your home inspection business.	CRM (Customer Relationship Management)
Hona	Hona	Hona is a comprehensive communication platform designed specifically for law firms to streamline client relationships and automate workflows	Communication
Hoorayhr	HoorayHR	HoorayHR is the all-in-one HR tool everyone just gets: streamline your employee onboarding, automate your HR processes and help your employees grow.	Human Resources
Hotjar	Hotjar	Traditional web analytics tools help you analyze traffic data. But numbers alone can’t tell you what users really do on your site — Hotjar will.	Analytics
Howuku	Howuku	Howuku is a UX testing tool to help business collects feedback and records user behavior.	Analytics
Hrflow.ai	HrFlow.ai	HrFlow.ai is the 1st multi-layer AI powered API that brings intelligence to your HR Data and bridges the gap between all your data Sources and Destinations.	HR Talent & Recruitment
Hubiomail	HubioMail	HubioMail is an email marketing platform for digital marketers or individuals who want to manage subscribers, import-export existing lists, and to manage and automate email marketing campaigns.	Marketing
HulkappsProductReviews	HulkApps Product Reviews	Automates customer reviews-invite users, track, and stay on top of feedback effortlessly for your Shopify store with HulkApps Product Reviews.	Reviews
HumeAi	Hume AI	Hume AI is a platform for expressive AI interactions, that understands human emotions through voice and facial expressions.	AI Models
Hund	Hund	Hund is an automated status page platform that helps reduce time spent on manual updates. Turn incidents into opportunities and build trust.	Customer Support
Hystruct	Hystruct	Hystruct makes it easier to automate capturing and scraping structured data from the web.	AI Assistants
Idenfy	iDenfy	iDenfy helps you automate identity verification enforced with manual oversight. Defeat fraud while processing customers' data quickly and securely.	Security & Identity Tools
Ideta	Ideta	Ideta helps you automate conversations in livechats, chatbots and phone calls.	Developer Tools
Idloom	idloom	idloom is a complete and professional tool that manages and automates all key aspects of event management.	Event Management
Ignition	Ignition	Ignition makes it simple to engage clients, get paid and run your business on autopilot. From impressive online proposals to automated engagement letters and payments, we free you up to focus on what matters most.	Proposal & Invoice Management
Ikigai	Ikigai	Ikigai is a Generative AI platform for Tabular Data. Connect data, power up with AI. Automate all data tasks.	AI Assistants
ImagedirectorMilner	ImageDirector by Milner	ImageDirector is a data management tool to process forms, store and manage content, automate workflows.	Documents
Imagetocaption.ai	imagetocaption.ai	imagetocaption.ai is a social media automation tool that creates engaging captions for post from images or videos.	AI Assistants
Imagior	Imagior	Imagior is an automated image generation software that enables businesses and creators to create and customize images using templates.	Images & Design
Impira	Impira	Impira is a no-code machine learning platform that automates data entry tasks for businesses of all sizes.	Developer Tools
Implifie	Implifie	Implifie is a no-code customer engagement platform that helps businesses send broadcasts, build chatbot flows, and automate conversations to boost sales.	Spreadsheets
Impulze.ai	Impulze.ai	Impulze.ai is a ROI-driven influencer marketing platform for informative decision-makers and agencies.	Marketing
Indyforms	IndyForms	IndyForms is an online automated digital forms and document management solution.	Forms & Surveys
InfluencerMarketingAi	Influencer Marketing AI	InfluencerMarketing.ai is an all-in-one platform to find influencers, streamline campaigns, and maximize ROI in influencer marketing.	AI Assistants
